Country,Tech,Band,F(MHz),Latitude,Longitude
Slovenia,5G,N41 ,2500,46.151241,14.995463
Slovenia,5G,N78 ,3500,46.151241,14.995463
South Africa,2G,DCS,1800,-30.559482,22.937506
South Africa,2G,E-GSM,900,-30.559482,22.937506
South Africa,3G,B1 ,2100,-30.559482,22.937506
South Africa,3G,B5 ,850,-30.559482,22.937506
South Africa,3G,B8 ,900,-30.559482,22.937506
South Africa,4G,B3 ,1800,-30.559482,22.937506
South Africa,4G,B1 ,2100,-30.559482,22.937506
South Africa,4G,B40 ,2300,-30.559482,22.937506
South Africa,4G,B38 ,2600,-30.559482,22.937506
South Africa,5G,N78 ,3500,-30.559482,22.937506
South Korea,3G,B1 ,2100,35.907757,127.766922
South Korea,4G,B3 ,1800,35.907757,127.766922
South Korea,4G,B1 ,2100,35.907757,127.766922
South Korea,4G,B7 ,2600,35.907757,127.766922
South Korea,4G,B5 ,850,35.907757,127.766922
South Korea,4G,B8 ,900,35.907757,127.766922
South Korea,5G,N78 ,3500,35.907757,127.766922
South Korea,5G,N257 ,28 GHz,35.907757,127.766922
Spain,2G,DCS,1800,40.463667,-3.74922
Spain,2G,E-GSM,900,40.463667,-3.74922
Spain,3G,B1 ,2100,40.463667,-3.74922
Spain,3G,B8 ,900,40.463667,-3.74922
Spain,4G,B3 ,1800,40.463667,-3.74922
Spain,4G,B1 ,2100,40.463667,-3.74922
Spain,4G,B7 ,2600,40.463667,-3.74922
Spain,4G,B28 ,700,40.463667,-3.74922
Spain,4G,B20 ,800,40.463667,-3.74922
Spain,4G,B8 ,900,40.463667,-3.74922
Spain,4G,B38 ,2600,40.463667,-3.74922
Spain,5G,N3 ,1800,40.463667,-3.74922
Spain,5G,N1 ,2100,40.463667,-3.74922
Spain,5G,N78 ,3500,40.463667,-3.74922
Spain,5G,N28 ,700,40.463667,-3.74922
Spain,5G,N258 ,26 GHz,40.463667,-3.74922
Sri Lanka,2G,DCS,1800,7.873054,80.771797
Sri Lanka,2G,E-GSM,900,7.873054,80.771797
Sri Lanka,3G,B1 ,2100,7.873054,80.771797
Sri Lanka,4G,B3 ,1800,7.873054,80.771797
Sri Lanka,4G,B1 ,2100,7.873054,80.771797
Sri Lanka,4G,B7 ,2600,7.873054,80.771797
Sri Lanka,4G,B5 ,850,7.873054,80.771797
Sri Lanka,4G,B8 ,900,7.873054,80.771797
Sri Lanka,4G,B40 ,2300,7.873054,80.771797
Sri Lanka,4G,B41 ,2500,7.873054,80.771797
Sri Lanka,5G,N78 ,3500,7.873054,80.771797
Sudan,2G,DCS,1800,12.862807,30.217636
Sudan,2G,E-GSM,900,12.862807,30.217636
Sudan,3G,B1 ,2100,12.862807,30.217636
Sudan,4G,B1 ,2100,12.862807,30.217636
Sweden,2G,DCS,1800,60.128161,18.643501
Sweden,2G,E-GSM,900,60.128161,18.643501
Sweden,3G,B1 ,2100,60.128161,18.643501
Sweden,3G,B8 ,900,60.128161,18.643501
Sweden,4G,B3 ,1800,60.128161,18.643501
Sweden,4G,B1 ,2100,60.128161,18.643501
Sweden,4G,B7 ,2600,60.128161,18.643501
Sweden,4G,B28 ,700,60.128161,18.643501
Sweden,4G,B20 ,800,60.128161,18.643501
Sweden,4G,B8 ,900,60.128161,18.643501
Sweden,4G,B38 ,2600,60.128161,18.643501
Sweden,5G,N1 ,2100,60.128161,18.643501
Sweden,5G,N38 ,2600,60.128161,18.643501
Sweden,5G,N78 ,3500,60.128161,18.643501
Sweden,5G,N28 ,700,60.128161,18.643501
Switzerland,3G,B1 ,2100,46.818188,8.227512
Switzerland,3G,B8 ,900,46.818188,8.227512
Switzerland,4G,B3 ,1800,46.818188,8.227512
Switzerland,4G,B1 ,2100,46.818188,8.227512
Switzerland,4G,B7 ,2600,46.818188,8.227512
Switzerland,4G,B28 ,700,46.818188,8.227512
Switzerland,4G,B20 ,800,46.818188,8.227512
Switzerland,4G,B38 ,2600,46.818188,8.227512
Switzerland,5G,N80 ,1800,46.818188,8.227512
Switzerland,5G,N1 ,2100,46.818188,8.227512
Switzerland,5G,N78 ,3500,46.818188,8.227512
Switzerland,5G,N28 ,700,46.818188,8.227512
Taiwan,3G,B1 ,2100,23.69781,120.960515
Taiwan,4G,B3 ,1800,23.69781,120.960515
Taiwan,4G,B1 ,2100,23.69781,120.960515
Taiwan,4G,B7 ,2600,23.69781,120.960515
Taiwan,4G,B28 ,700,23.69781,120.960515
Taiwan,4G,B8 ,900,23.69781,120.960515
Taiwan,5G,N1 ,2100,23.69781,120.960515
Taiwan,5G,N78 ,3500,23.69781,120.960515
Thailand,2G,DCS,1800,15.870032,100.992541
Thailand,2G,E-GSM,900,15.870032,100.992541
Thailand,3G,B1 ,2100,15.870032,100.992541
Thailand,3G,B5 ,850,15.870032,100.992541
Thailand,3G,B8 ,900,15.870032,100.992541
Thailand,4G,B3 ,1800,15.870032,100.992541
Thailand,4G,B1 ,2100,15.870032,100.992541
Thailand,4G,B8 ,900,15.870032,100.992541
Thailand,4G,B40 ,2300,15.870032,100.992541
Thailand,4G,B41 ,2500,15.870032,100.992541
Thailand,5G,N41 ,2500,15.870032,100.992541
Tunisia,2G,DCS,1800,33.886917,9.537499
Tunisia,2G,E-GSM,900,33.886917,9.537499
Tunisia,3G,B1 ,2100,33.886917,9.537499
Tunisia,3G,B8 ,900,33.886917,9.537499
Turkey,2G,DCS,1800,38.963745,35.243322
Turkey,2G,E-GSM,900,38.963745,35.243322
Turkey,3G,B1 ,2100,38.963745,35.243322
Turkey,4G,B3 ,1800,38.963745,35.243322
Turkey,4G,B1 ,2100,38.963745,35.243322
Turkey,4G,B7 ,2600,38.963745,35.243322
Turkey,4G,B20 ,800,38.963745,35.243322
Turkey,4G,B8 ,900,38.963745,35.243322
Turkey,4G,B38 ,2600,38.963745,35.243322
Uganda,2G,DCS,1800,1.373333,32.290275
Uganda,2G,E-GSM,900,1.373333,32.290275
Uganda,3G,B1 ,2100,1.373333,32.290275
Uganda,4G,B3 ,1800,1.373333,32.290275
Uganda,4G,B7 ,2600,1.373333,32.290275
Uganda,4G,B20 ,800,1.373333,32.290275
Ukraine,2G,DCS,1800,48.379433,31.16558
Ukraine,2G,E-GSM,900,48.379433,31.16558
Ukraine,3G,B1 ,2100,48.379433,31.16558
Ukraine,4G,B3 ,1800,48.379433,31.16558
Ukraine,4G,B1 ,2100,48.379433,31.16558
Ukraine,4G,B7 ,2600,48.379433,31.16558
Ukraine,4G,B20 ,800,48.379433,31.16558
Ukraine,4G,B8 ,900,48.379433,31.16558
Ukraine,4G,B40 ,2300,48.379433,31.16558
Ukraine,4G,B38 ,2600,48.379433,31.16558
United Arab Emirates,2G,DCS,1800,23.424076,53.847818
United Arab Emirates,2G,E-GSM,900,23.424076,53.847818
United Arab Emirates,3G,B1 ,2100,23.424076,53.847818
United Arab Emirates,4G,B3 ,1800,23.424076,53.847818
United Arab Emirates,4G,B1 ,2100,23.424076,53.847818
United Arab Emirates,4G,B7 ,2600,23.424076,53.847818
United Arab Emirates,4G,B20 ,800,23.424076,53.847818
United Arab Emirates,5G,N78 ,3500,23.424076,53.847818
United Kingdom,2G,DCS,1800,55.378051,-3.435973
United Kingdom,2G,E-GSM,900,55.378051,-3.435973
United Kingdom,3G,B1 ,2100,55.378051,-3.435973
United Kingdom,3G,B8 ,900,55.378051,-3.435973
United Kingdom,4G,B1 ,2100,55.378051,-3.435973
United Kingdom,4G,B20 ,800,55.378051,-3.435973
United Kingdom,4G,B28 ,700,55.378051,-3.435973
United Kingdom,4G,B3 ,1800,55.378051,-3.435973
United Kingdom,4G,B32 ,1500,55.378051,-3.435973
United Kingdom,4G,B7 ,2600,55.378051,-3.435973
United Kingdom,4G,B8 ,900,55.378051,-3.435973
United Kingdom,4G,B38 ,2600,55.378051,-3.435973
United Kingdom,5G,N3 ,1800,55.378051,-3.435973
United Kingdom,5G,N1 ,2100,55.378051,-3.435973
United Kingdom,5G,N7 ,2600,55.378051,-3.435973
United Kingdom,5G,N78 ,3500,55.378051,-3.435973
United Kingdom,5G,N77 ,3700,55.378051,-3.435973
United Kingdom,5G,N28 ,700,55.378051,-3.435973
United Kingdom,5G,N8 ,900,55.378051,-3.435973
United States,2G,PCS,1900,37.09024,-95.712891
United States,4G,B66 ,1700/2100,37.09024,-95.712891
United States,4G,B4 ,1700/2100,37.09024,-95.712891
United States,4G,B25 ,1900,37.09024,-95.712891
United States,4G,B2 ,1900,37.09024,-95.712891
United States,4G,B30 ,2300,37.09024,-95.712891
United States,4G,B71 ,600,37.09024,-95.712891
United States,4G,B12 ,700,37.09024,-95.712891
United States,4G,B17 ,700,37.09024,-95.712891
United States,4G,B13 ,700,37.09024,-95.712891
United States,4G,B29 ,700,37.09024,-95.712891
United States,4G,B14 ,700,37.09024,-95.712891
United States,4G,B5 ,850,37.09024,-95.712891
United States,4G,B26 ,850,37.09024,-95.712891
United States,4G,B41 ,2500,37.09024,-95.712891
United States,4G,B48 ,3600,37.09024,-95.712891
United States,4G,B46 ,5900,37.09024,-95.712891
United States,5G,N70 ,1700/2000,37.09024,-95.712891
United States,5G,N66 ,1700/2100,37.09024,-95.712891
United States,5G,N2 ,1900,37.09024,-95.712891
United States,5G,N41 ,2500,37.09024,-95.712891
United States,5G,N77 ,3700,37.09024,-95.712891
United States,5G,N71 ,600,37.09024,-95.712891
United States,5G,N29 ,700,37.09024,-95.712891
United States,5G,N5 ,850,37.09024,-95.712891
United States,5G,N258 ,26 GHz,37.09024,-95.712891
United States,5G,N261 ,28 GHz,37.09024,-95.712891
United States,5G,N260 ,39 GHz,37.09024,-95.712891
Uruguay,2G,DCS,1800,-32.522779,-55.765835
Uruguay,2G,GSM,850,-32.522779,-55.765835
Uruguay,2G,PCS,1900,-32.522779,-55.765835
Uruguay,3G,B2 ,1900,-32.522779,-55.765835
Uruguay,3G,B1 ,2100,-32.522779,-55.765835
Uruguay,3G,B5 ,850,-32.522779,-55.765835
Uruguay,4G,B4 ,1700/2100,-32.522779,-55.765835
Uruguay,4G,B2 ,1900,-32.522779,-55.765835
Uzbekistan,2G,DCS,1800,41.377491,64.585262
Uzbekistan,2G,E-GSM,900,41.377491,64.585262
Uzbekistan,3G,B1 ,2100,41.377491,64.585262
Uzbekistan,4G,B7 ,2600,41.377491,64.585262
Vietnam,2G,DCS,1800,14.058324,108.277199
Vietnam,2G,E-GSM,900,14.058324,108.277199
Vietnam,3G,B2 ,1900,14.058324,108.277199
Vietnam,3G,B1 ,2100,14.058324,108.277199
Vietnam,4G,B3 ,1800,14.058324,108.277199
