Tech,Band,F(MHz),Band Name,Uplink Low (MHz),Uplink High (MHz),Downlink Low (MHz),Downlink High (MHz)
5G,n67,700,EU 700,,,738 ,758
5G,n70,2000,Supplementary AWS,1695 ,1710,1995 ,2020
5G,n71,600,Digital Dividend US,663 ,698,617 ,652
5G,n72,450,PMR,451 ,456,461 ,466
5G,n74,1500,Lower L‑Band Japan,1427 ,1470,1475 ,1518
5G,n75,1500,L‑Band,,,1432 ,1517
5G,n76,1500,L‑Band Extension,,,1427 ,1432
5G,n77,3700,C-Band,3300 ,4200,3300 ,4200
5G,n78,3500,C-Band,3300 ,3800,3300 ,3800
5G,n79,4900,C-Band,4400 ,5000,4400 ,5000
5G,n80,1800,DCS,1710 ,1785,,
5G,n81,900,Extended GSM,880 ,915,,
5G,n82,800,Digital Dividend EU,832 ,862,,
5G,n83,700,APT,703 ,748,,
5G,n84,2100,IMT,1920 ,1980,,
5G,n85,700,Extended Lower SMH,698 ,716,728 ,746
5G,n86,1700,Extended AWS,1710 ,1780,,
5G,n89,850,CLR,824 ,849,,
5G,n90,2500,BRS,2496 ,2690,2496 ,2690
5G,n91,800/1500,DD L-Band,832 ,862,1427 ,1432
5G,n92,800/1500,DD L-Band,832 ,862,1432 ,1517
5G,n93,900/1500,Extended GSM L-Band,880 ,915,1427 ,1432
5G,n94,900/1500,Extended GSM L-Band,880 ,915,1432 ,1517
5G,n95,2100,IMT,2010 ,2025,,
5G,n96,6000,U-NII-5–8,5925 ,7125,5925 ,7125
5G,n97,2300,S-Band,2300 ,2400,,
5G,n98,1900,DCS–IMT Gap,1880 ,1920,,
5G,n99,1600,Upper L-band,1626.5 ,1660.5,,
5G,n100,900,GSM-R,874.4 ,880,919.4 ,925
5G,n101,1900,FRMCS,1900 ,1910,1900 ,1910
5G,n102,6200,U-NII-5,5925 ,6425,5925 ,6425
5G,n104,6700,U-NII-6–8,6425 ,7125,6425 ,7125
5G,n105,600,Digital Dividend,663 ,703,612 ,652
5G,n106,900,LMRS,896 ,901,935 ,940
5G,n109,700/1500,APT L-Band,703 ,733,1432 ,1517
5G,n254,2400,S-band,2483.5 ,2500,1610,1626.5
5G,n255,1600,Upper L-band,1525 ,1559,1626.5,1660.5
5G,n256,2100,S-band,2170 ,2200,1980,2010
5G,n257,28000,LMDS,26500,29500,26500,29500
5G,n258,26000,K-band,24250,27500,24250,27500
5G,n259,41000,V-band,39500,43500,39500,43500
5G,n260,39000,Ka-band,37000,40000,37000,40000
5G,n261,28000,Ka-band,27500,28350,27500,28350
5G,n262,47000,V-band,47200,48200,47200,48200
5G,n263,60000,V-band,57000,71000,57000,71000
5G,n510,28000,Ka-band,27500,28350,17300,20200
5G,n511,28000,Ka-band,28350,30000,17300,20200
5G,n512,28000,Ka-band,27500,30000,17300,20200
